"Year","Area","Street","Street.2"
2011,"Birmingham",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
2011,"",,
